dlga_start:close_window.1|{s3}
dlga_fighter_talk_train_combat_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_start:fighter_parry_try_again|Muito bem! Você conseguiu bloquear meus ataques com sucesso. Você pode repetir esta prática e tentar fazê-la cada vez mais rápido, até que esteja seguro de que suas habilidades de defesa são suficientes. Quer tentar de novo?
dlga_start:fighter_parry_try_again.1|Bem, isso não foi muito bom, certo? (Lembre-se, você deve pressionar e segurar o botão direito do mouse para manter um bloqueio efetivo). Gostaria de tentar de novo?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Sim, vamos tentar novamente.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Não, creio que isso já foi o suficiente.
dlga_start:fighter_parry_warn|Hey! Estamos fazendo uma prática de bloqueio, companheiro. Supõe-se que você deve bloquear meus ataques, não me atacar.
dlga_fighter_parry_warn:fighter_talk_train_parry|Desculpe. Dê-me outra oportunidade.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Desculpe, tenho que terminar esta prática agora.
dlga_fighter_talk_leave_parry:close_window|Perfeito. Como quiser.
dlga_start:fighter_combat_try_again|Bem, isso não foi muito bom, certo? Não se sinta mal por isso, apenas trate de não repetir os mesmos erros da próxima vez. Gostaria de tentar de novo?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Sim. Vamos mais uma rodada.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Não. Isso já foi o suficiente.
dlga_fighter_talk_leave_combat:close_window|Bem, então perfeito. Diga-me novamente, se mudar de ideia.
dlga_start:fighter_combat_try_again.1|Ei, isso foi bom. Você me derrotou, mas da próxima vez eu terei mais cuidado. Quer tentar de novo?
dlga_start:fighter_talk.2|Muito bem! Você aprendeu como atacar a partir da direção que você deseja. Se quiser, podemos tentar isso de novo ou partir para um tipo diferente de exercício.
dlga_start:archer_challenge_2|Nada mal. Não está tão mau! Parece que você compreendeu as noções básicas de tiro com arco. Agora, tente fazer o mesmo com uma besta. Pegue a besta e os dardos ali e dispare para esses três alvos. A besta é muito mais fácil de disparar que o arco, porém é necessário que você a recarregue-a depois de cada disparo.
dlga_start:archer_challenge_2.1|Bom. A besta não foi tão difícil. Em seguida, você aprenderá a utilizar as armas de arremesso. Reúna as lanças que você encontrar e tente acertá-las nesses três alvos.
dlga_start:ranged_end|Bem, você tem praticado as habilidades básicas para usar três tipos de armas de longo alcance. O resto aprenderá com a prática. Treinando todos os dias, com o tempo você se tornará tão bom quanto os melhores atiradores de Calradia.
dlga_ranged_end:close_window|Agora, você pode falar com os guerreiros ou com o instrutor de montaria, se você ainda não tiver feito isso. Eles podem lhe ensinar importantes habilidades.
dlga_start:archer_talk|Bom dia, meu jovem. Passo meus dias ensinando tudo o que sei sobre armas de longo alcance a qualquer pessoa que esteja disposta a aprender. Você precisa de um treinador? Eu poderia lhe ensinar como usar o arco, a besta e as lanças de longo alcance.
dlga_archer_talk:archer_challenge|Sim, me ensine a usar as armas de longo alcance.
dlga_archer_talk:close_window|Não, agora não.
dlga_archer_challenge:archer_challenge_2|Está bem. Seu primeiro treinamento será o tiro com arco. O arco é uma arma difícil de dominar. Porém, uma vez que você seja suficientemente hábil com ele, poderá disparar com rapidez e precisão. Vá buscar o arco e as flechas que você vê ali e atire nos alvos.
dlga_archer_challenge_2:close_window|Certo. Estou pronto.
dlga_archer_challenge_2:close_window.1|Desculpe. Tenho que fazer uma coisa primeiro.
dlga_start:horseman_melee_challenge_2|Espero que tenha gostado do passeio. Agora passemos para a algo um pouco mais difícil. Pegue a lança que você vê ali e, cavalgando seguindo o curso de cada alvo, golpeie-os pelo menos uma vez.
dlga_start:horseman_melee_challenge_2.1|Muito bem! Você conseguiu atingir todos os alvos a cavalo. Isso não é tarefa fácil para um iniciante. Seu próximo desafio será usar um arco e flecha para atirar nos alvos que encontrar pelo caminho. Você terá que apontar para cada alvo.
dlga_start:horsemanship_end|Muito bom. Você foi capaz de atirar em todos os alvos do lombo de um cavalo. Cavalgue e pratique essas coisas todos os dias. Se fizer isso, ao longo do tempo você se tornará um perito cavaleiro.
dlga_horsemanship_end:close_window|Agora você pode ir falar com os guerreiros ou com o treinador arqueiro, caso não o tenha feito ainda. Você deve aprender tudo o que puder para estar preparado quando precisar se defender.
dlga_start:horseman_talk|Saudações, irmão! Eu vim aqui obter uma prática de montaria, mas meus velhos músculos doem tanto que decidi fazer uma pausa por hoje. Você quer praticar sua montaria? Se quiser, pode montar o meu cavalo. O exercício lhe fará bem.
dlga_horseman_talk:horseman_challenge|Sim, gostaria de praticar a montaria.
dlga_horseman_talk:close_window|Uhm. Talvez mais tarde.
dlga_horseman_challenge:horseman_melee_challenge_2|Ótimo. Agora mostrarei alguns exercícios para ensinar-lhe a montar e usar armas enquanto estiver a cavalo. Sua primeira tarefa é simples. Apenas monte em seu cavalo e cavalgue ao redor do campo. Pode ir lentamente ou rápido, como você desejar. Volte apenas quando se sentir seguro como um cavalgador, para que eu possa lhe propor algumas tarefas mais complexas.
dlga_horseman_melee_challenge_2:close_window|Certo. Estou pronto.
dlga_horseman_melee_challenge_2:close_window.1|Um minuto, tenho que fazer algo antes.
dlga_tutorial_troop_default:close_window|Ei, estou tentando praticar aqui. Vá falar com o arqueiro instrutor se precisar de ajuda com armas de longo alcance.
dlga_start:lord_prison_break_confirm_3|Há uma mudança de plano?
dlga_start:lord_prison_break|O que está acontecendo?
dlga_start:aroulo_meet_on_island_backstory|I can speak your tongue. What is your business here?{***}
dlga_aroulo_meet_on_island_backstory:aroulo_meet_on_island_backstory_1|I am nothing but a merchant, sir.{***}
dlga_aroulo_meet_on_island_backstory_1:aroulo_meet_on_island_backstory_2|Merchant you say? I take it your wares were on that ship?{***}
dlga_aroulo_meet_on_island_backstory_2:aroulo_meet_on_island_backstory_3|Indeed.{***}
dlga_aroulo_meet_on_island_backstory_3:close_window|Well... There are many bandits, is all I can say. I know not who those ones are. It seems you are safe now, I wish you luck in your travels.{***}
dlga_aroulo_meet_on_island_backstory:aroulo_meet_on_island_backstory_attack|My business? I will be having that armor of yours, or I will take it off your dead body.{***}
dlga_aroulo_meet_on_island_backstory_attack:close_window|You are a fool. Okel Jakkaarii!{***}
dlga_start:close_window.4|Oleth hrakkarikh, lanqoyi rhoa.{***}
dlga_start:helga_response|Oh where is Angvar? Where is my husband?{***}
dlga_helga_response:close_window|He died bravely, Helga.{***}
dlga_helga_response:close_window.1|(leave her to mourn){***}
dlga_start:ovkun_response|Where is Torsson?{***}
dlga_ovkun_response:ovkun_response_died|He died bravely, I am sorry I could not save him.{***}
dlga_ovkun_response:ovkun_response_games|Where is Torsson? That is a very good question; he couldn't make it on the voyage back, perhaps he is still raiding.{***}
dlga_ovkun_response_games:ovkun_response_2|Stop playing games! He is dead, I can see right through you, coward!{***}
dlga_ovkun_response_died:ovkun_response_2|And why did you not die with him, like a true kinsman?{***}
dlga_ovkun_response_2:close_window|He is dead and couragous, you are living and cowardly. Soon you will be dead and cowardly. Draw your spear if you still have any iron in your blood.{***}
dlga_start:aotfs1|You have returned to us in peace, my {reg33?sister:brother}.{***}
dlga_aotfs1:aotfs2|Yes, Falmann. It is good to see you.{***}
dlga_aotfs2:aotfs3|What news do you bring?{***}
dlga_aotfs3:aotfs4|We have slain the bastard Svafar, and are here to redeem ourselves. We hope that you will forgive us for the disgraceful actions we have committed in the past.{***}
dlga_aotfs4:aotfs5|I am proud of you, {reg33?sister:brother}. You return to us in peace, and have buried Svafar so Torsson may rest in peace. We will never forget your actions.{***}
dlga_aotfs5:aotfs6|Thank you, Falmann. We will be returning to the mainland now, for much remains that I must do.{***}
dlga_aotfs6:aotfs7|Hold, {reg33?sister:brother}. I have a gift for you that has belonged to us Hylr for many generations. I present to you this axe. I do not know what its history is, for its story has long been forgotten. Regardless, I am certain you will find it to your liking.{***}
dlga_aotfs7:close_window|Thank you again, Falmann. May the Gods guide us today to honor and glory.{***}
dlga_start:falmann_ready|Ready to leave?{***}
dlga_falmann_ready:close_window|Yes, let me be off.{***}
dlga_falmann_ready:close_window.1|Not quite yet.{***}
dlga_start:falmann_response|Well, I see Kvensson has a spear in his throat. I cannot blame you for his death, as he challenged you. However, you are one of two survivors to Torsson's raid. Tell me what happened.{***}
dlga_falmann_response:falmann_disgust|Well, a Valahir Aethling attacked us you see... [admit cowardice]{***}
dlga_falmann_response:falmann_bullshit|Well, he asked Hyk and I to scout ahead you see, and he wasn't there upon our return... [deny cowardice]{***}
dlga_falmann_disgust:falmann_disgust_2|You disgust me.{***}
dlga_falmann_disgust_2:falmann_disgust_3|You do not deserve the very clothes on your back, wrought by better hands than yours.{***}
dlga_falmann_disgust_3:falmann_avenge|*spits* But I will give you another chance. Do not act such a coward again, or you will find me less lenient.{***}
dlga_falmann_bullshit:falmann_avenge|You say you found a bit of cloth with Aethling Svafar's sigil on it when looking at your camp? I have no doubt that it is his doing.{***}
dlga_falmann_avenge:falmann_avenge_2|You must avenge Torsson's death, as the survivor and friend to him. Talk to me when you are ready to sail back to Perisno. I know you may not have the capacity to beat him now, but you have all the time in the world. Svafar's death is your mission.{***}
dlga_falmann_avenge_2:close_window|Thank you for giving me this chance to prove myself. I will not fail in this.{***}
dlga_start:north_merchant_talk|Good day, I am a merchant from south, looking to sell a few of my wares. What can I do for you?{***}
dlga_north_merchant_talk:north_trade_requested|I want to trade. Show me your wares.{***}
dlga_north_trade_requested:north_merchant_trade|Ah, yes. Take a look.{***}
dlga_north_merchant_trade:north_merchant_talk|Anything else?{***}
dlga_north_merchant_talk:north_merchant_gossip|Tell me. What are people talking about these days?{***}
dlga_north_merchant_gossip:north_merchant_talk|Well, nothing new lately. Prices, weather, the wars; the same old things. I know little of what men are talking of here on Hylr, I am simply a merchant trying to find my way to as many remote places as possible to sell my wares and hopefully, find some interesting stories. You could say I'm a bit of an adventurer myself!{***}
dlga_north_merchant_talk:close_window|Good-bye.{***}
dlga_start:close_window.5|Peço humildemente que {o senhor/a senhora} mantenha as mãos onde eu possa vê-las.
dlga_start:drunk_response|O que você está olhando?
dlga_start:drunk_response.1|Está olhando para mim?
dlga_player_duel_response:close_window|Que desperdício...
dlga_player_duel_response:close_window.1|Antes ele do que eu.
dlga_drunk_response:drunk_fight_start|Não sei dizer... Algum animal, sem dúvida.
dlga_drunk_response:dplmc_drunk_attempt_placate|Com licença, por favor aceite minhas desculpas.
dlga_dplmc_drunk_attempt_placate:close_window|Eu irei deixar passar... dessa vez.  Agora cai fora.
dlga_dplmc_drunk_attempt_placate:close_window.1|Vou tirar esse sorriso do seu rosto!
dlga_drunk_fight_start:close_window|Vou tirar esse sorriso do seu rosto!
dlga_drunk_response:drunk_player_high_renown|Você tem alguma ideia de quem eu sou?
dlga_drunk_player_high_renown:drunk_fight_start|Deveria me importar?
dlga_drunk_player_high_renown:drunk_fight_start.1|Grande conversa para um pequeno verme. Vou colocá-lo em seu lugar!
dlga_drunk_player_high_renown:drunk_player_high_renown|Hummm... Na verdade... Sim, sim, eu sei quem você é, {s0}. Por favor, perdoe-me vossa Graça... deve ser o álcool. Vou indo, agora...
dlga_drunk_player_high_renown:drunk_fight_start.2|Se é luta que você quer, é luta que você terá!
dlga_drunk_player_high_renown:close_window|Como eu imaginava. Agora retire-se daqui!
dlga_start:fistfight_response|Certamente você parece {um camarada/uma dama} capaz de dar um bom par de golpes. Tenho uma proposta para você.
dlga_fistfight_response:fistfight_response_2|Como assim?
dlga_fistfight_response_2:fistfight_response_2a|Bom. Alegro-me em ver que está interessado. O plano é o seguinte... É um pouco complicado, então ouça-me atentamente.
dlga_fistfight_response_2a:fistfight_response_3|Você e outra pessoa começarão uma briga aqui. Sem armas, nem armadura... Eu me sentarei aqui e receberei apostas, para depois dividir os lucros com o vencedor. Se perdermos, vou cobrir os custos. Você não tem nada a perder... exceto um pouco de sangue, é claro.
dlga_fistfight_response_3:fistfight_response_4|No entanto, é impossível organizar isso como um daqueles belos confrontos na arena, onde todas as apostas são feitas com antecedência. Pessoas a pé, atraídas pelo barulho, apostarão alguns denares em quem acreditarem que irá ganhar. Estou convencido de que temos muito a ganhar com isso.
dlga_fistfight_response_4:fistfight_response_4a|Bem, como pode ver, o truque é prolongar a luta o maior tempo possível, de modo que todos pensem que você irá perder. As pessoas vão se colocar contra você e você inverterá o destino da luta no último momento. Para você, a melhor maneira de fazer dinheiro é deixar-se ser espancado até quase o nocaute, em seguida, levantar-se e vencer. Você deve virar o jogo no fim da luta, caso contrário, nem eu, nem você, ganharemos o dinheiro.
dlga_fistfight_response_4a:fistfight_response_5|Por outro lado, você não pode arrastar a luta por muito tempo, porque assim as pessoas vão começar a suspeitar do truque. Por isso, ambos terão que receber alguns golpes de vez em quando. Não me importa quanto sangue seja derramado, mas os espectadores precisam ver sangue.
dlga_fistfight_response_5:fistfight_response_5a|E outra coisa... O meu colega, com quem você vai lutar, não é muito inteligente. Ele partirá diretamente para você, portanto será de sua responsabilidade introduzir criatividade no combate.
dlga_fistfight_response_5a:fistfight_response_confirm|E então, o que me diz?
dlga_fistfight_response_confirm:close_window|  {!}[Yes -- not yet implemented]{***}
dlga_fistfight_response_confirm:close_window.1|Tenho coisas melhores para fazer.
dlga_start:ramun_introduce_1|Que tenha um bom dia, {meu jovem/minha jovem}.
dlga_ramun_introduce_1:ramun_introduce_2|Perdoe-me, você parece ser um mercador, mas não consigo ver suas mercadorias.
dlga_ramun_introduce_1:close_window|Não me importa.
dlga_ramun_introduce_2:ramun_introduce_3|Mercador? Oh, sim, sou um mercador. Meus bens são um pouco diferentes do tradicional. Devem ser alimentados e hidratados duas vezes ao dia, e quando eu me viro, tentam escapar.
dlga_ramun_introduce_3:ramun_introduce_4|Gado?
dlga_ramun_introduce_4:ramun_introduce_5|Não exatamente. Costumo dizer a mim mesmo que sou o homem responsável por manter todos os navios do oceano navegando. Veja só, os navios são movidos por remos e os remos necessitam de homens que os manejem, caso contrário eles param. É aí que eu entro.
dlga_ramun_introduce_5:ramun_introduce_6|Galeotes.
dlga_ramun_introduce_6:ramun_introduce_7|Vejo que você está compreendendo! Um porto comercial como este não poderia sobreviver sem eles. Os navios perdem vários pares de braços em cada viagem, por isso há sempre uma grande demanda. Os capitães vêm a mim, e pagam muito bem.
dlga_ramun_introduce_7:ramun_introduce_8|De onde vem os escravos?
dlga_ramun_introduce_8:ramun_introduce_9|A maior parte deles são criminosos condenados que eu compro das autoridades. Outros são prisioneiros de guerra de diferentes nações, trazidos a mim porque eu sempre ofereço os melhores preços. No entanto, de vez em quando também compro indivíduos de outras... "fontes". Não se pode ser muito exigente com seus fornecedores neste negócio. Você por acaso não teria algum prisioneiro aí com você?
dlga_ramun_introduce_9:ramun_introduce_10|Eu? 
dlga_ramun_introduce_10:ramun_introduce_11|Por que não? Se pretende colocar os pés fora desta cidade, mais cedo ou mais tarde acabará cruzando espadas com alguém. E se o Céu quiser, sairá vitorioso do encontro. Por que não fazer um dinheiro extra? Se você mantê-los vivos e trazê-los para mim, pagarei 50 denares por cabeça. Não me importa quem são, nem de onde vêm.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm... Pensarei sobre isso.
dlga_ramun_introduce_12:close_window|Pense nisso! Há uma grande quantidade de ouro a ser feito, não se deixe enganar. O suficiente para nós dois.
dlga_start:ramun_talk|Olá, {playername}.
dlga_ramun_pre_talk:ramun_talk|Algo mais?
dlga_ramun_talk:ramun_sell_prisoners|Eu trouxe alguns prisioneiros, Ramun. Gostaria de dar uma olhada?
dlga_ramun_talk:ramun_sell_prisoners_all|Eu quero vender todos os escravos que eu tenho comigo.
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|Tomarei todos os seus {reg0} {reg2?prisioneiros:prisioneiro} das suas mãos por {reg1} denares. Temos um acordo?
dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|Sim, temos um acordo.
dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Deixe-me pensar sobre isso novamente.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Deixe-me ver o que você tem...
dlga_ramun_sell_prisoners_2:close_window|Foi um prazer fazer negócio com você.
dlga_ramun_talk:ramun_ask_about_capturing|Como faço para capturar um prisioneiro?
dlga_ramun_talk:ramun_ask_about_capturing.1|Pode contar-me novamente como capturar prisioneiros?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Você é iniciante nesta prática, não é? Deixe-me explicar em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo em vez de sangrar até a morte, sabe? Eu suponho que você tenha uma arma dessas com você, tem?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Claro.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Bem, na verdade eu não tenho.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bom. Nesse caso, tudo o que precisa fazer é bater no idiota com sua arma e colocá-lo a ferros depois da luta. É um pouco diferente para os nobres e semelhantes, pois eles costumam estar suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com algo afiado. Eu não sou muito exigente quanto a minha mercadoria, mas insisto que eles devem estar vivos quando eu comprá-los.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Não? Ah, bem, esse deve ser o seu dia de sorte. Tenho aqui uma velha clava de madeira que iria jogar fora. Está um pouco gasto, mas acho que ainda serve para esmagar alguém até que pare de se mover. Tome, pode levá-lo.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Obrigad{o/a}, Ramun. Irei experimentá-lo em breve.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Muito bem, tentarei explicar novamente em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo, em vez de sangrar até a morte. Para os nobres e semelhantes é um pouco diferente, pois eles costumam ser suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com uma arma afiada.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Certo, creio que entendi. Algo mais?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Bem, não é tão simples como parece. As armas contundentes não são tão danosas como as armas afiadas, desta forma lhe custará mais para derrotar seus inimigos. E acredite em mim, se você dar-lhes uma escolha, a maioria dos vermes que encontrar preferirá matá-l{o/a} do que capturá-l{o/a}. Então não espere cortesia quando sacar um clube no lugar de uma espada. Além disso, ter que arrastar os prisioneiros em torno de seu grupo o deixará mais lento, razão pela qual alguns preferem simplesmente libertar seus prisioneiros depois de uma batalha. Isso é loucura! Como alguém pode rejeitar todo esse dinheiro, hã?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Isso é tudo?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Ah, sim, uma última coisa. Lidar corretamente com prisioneiros não é fácil, pode-se dizer que é um tipo específico de habilidade. Se você deseja capturar muitos prisioneiros, deve tentar aprender os truques por conta própria... caso contrário, não conseguirá manter um só homem que pegar.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Obrigado, tentarei me lembrar.
dlga_ramun_talk:ramun_leave|É melhor eu ir.
dlga_ramun_leave:close_window|Lembre-se, você pode me trazer qualquer prisioneiro que capturar. Pagarei uma boa quantia por cada um.
dlga_ramun_talk:ramun_quest|Do you have any tasks for me?{***}
dlga_ramun_quest:ramun_quest1|Why, of course! Business lately has been absolutely terrible! It seems like people like to kill other people more than to take them prisoner! It is absolutely horrible. Why kill someone with a sword when you can knock them out with blunt weapons and sell them as nice slaves?{***}
dlga_ramun_quest1:ramun_quest2|Why, indeed!{***}
dlga_ramun_quest2:ramun_quest3|Since business is so terrible right now, I am hoping you can capture some prisoners for me. Any prisoner is fine. I will reward you well.{***}
dlga_ramun_quest3:ramun_quest4|Alright! I'll do it. {***}
dlga_ramun_quest3:close_window|No thanks. Maybe another time, Ramun.{***}
dlga_ramun_quest4:close_window|Excellent! Remember, you need 15 prisoners of any kind.{***}
dlga_ramun_talk:ramun_reward|I have the prisoners!{***}
dlga_ramun_reward:close_window|Excellent! Here is the reward I promised you.{***}
dlga_start:close_window.8|Foi uma honra servi-l{o/a}, {senhor/minha senhora}
dlga_start:intel_adviser_talk|You should never see this. If you do, PM 'Something Unusual' on Taleworlds forum.{***}
dlga_intel_adviser_talk:intel_adviser_1|What do you wish to know, {reg33?my Lady:Sire}?{***}
dlga_intel_adviser_1:intel_adviser_fiefless_setup|What do you know of the lords of the other kingdoms?{***}
dlga_intel_adviser_1:intel_adviser_monarchs_1|Where are the monarchs of the other kingdoms, currently?{***}
dlga_intel_adviser_1:intel_adviser_siege|Where would you recommend I send my armies next?{***}
dlga_intel_adviser_1:intel_adviser_target|I want to target an enemy lord.{***}
dlga_intel_adviser_1:intel_adviser_end|Never mind.{***}
dlga_intel_adviser_end:close_window|I will be available when needed, {reg33?my Lady:Sire}.{***}
dlga_intel_adviser_fiefless_setup:intel_adviser_fiefless|.{***}
dlga_intel_adviser_fiefless:intel_adviser_fiefless_setup|My men tell me that the following lords could be turned...^{s4}{***}
dlga_intel_adviser_fiefless:intel_adviser_fiefless_reply|My men tell me that the following lords could be turned...^{s4}{***}
dlga_intel_adviser_fiefless_reply:intel_adviser_talk|Thank you, you have been most helpful.{***}
dlga_intel_adviser_monarchs_1:intel_adviser_monarchs_2|{s1}{***}
dlga_intel_adviser_monarchs_2:intel_adviser_monarchs_3|{s1}{***}
dlga_intel_adviser_monarchs_3:intel_adviser_monarchs_4|{s1}{***}
dlga_intel_adviser_monarchs_4:intel_adviser_monarchs_5|{s1}{***}
dlga_intel_adviser_monarchs_5:intel_adviser_monarchs_6|{s1}{***}
dlga_intel_adviser_monarchs_6:intel_adviser_fiefless_reply|{s1}{***}
dlga_intel_adviser_siege:intel_adviser_siege_reply|{s1}{***}
dlga_intel_adviser_siege_reply:intel_adviser_talk|Thank you.{***}
